ticker,cik,filing_date,accession,doc,tokens,substantive_per10k,boilerplate_per10k,tls_raw,tls_z,score_raw,score_z
GE,40545,2025-02-03,0000040545-25-000015,ge-20241231.htm,67745,2.6275001845154624,0.295224739833198,2.3322754446822644,-1.0604007762161376,2.3322754446822644,-1.0604007762161376
GE,40545,2024-02-02,0000040545-24-000027,ge-20231231.htm,72678,29.279837089628238,0.5503728776245906,28.72946421200365,-0.44214327188695257,28.72946421200365,-0.44214327188695257
GE,40545,2023-02-10,0000040545-23-000023,ge-20221231.htm,75766,24.338093603991243,0.5279412929282263,23.810152311063018,-0.5573601431114196,23.810152311063018,-0.5573601431114196
GE,40545,2022-02-11,0000040545-22-000008,ge-20211231.htm,79920,24.19919919919921,0.5005005005005005,23.69869869869871,-0.5599705359390882,23.69869869869871,-0.5599705359390882
GE,40545,2021-02-12,0000040545-21-000011,ge-20201231.htm,93421,22.02930818552575,0.4281692553066227,21.601138930219125,-0.6090981941557432,21.601138930219125,-0.6090981941557432
DUK,1326160,2025-02-27,0001326160-25-000072,duk-20241231.htm,178608,25.70433575203795,1.1197706709665862,24.584565081071364,-0.5392223591706262,24.584565081071364,-0.5392223591706262
DUK,1326160,2024-02-23,0001326160-24-000037,duk-20231231.htm,172590,28.356219943218004,1.4485196129555593,26.907700330262443,-0.4848114211709666,26.907700330262443,-0.4848114211709666
DUK,1326160,2023-02-27,0001326160-23-000073,duk-20221231.htm,165942,27.991707946149827,1.4462884622337926,26.545419483916035,-0.49329652365300347,26.545419483916035,-0.49329652365300347
DUK,1326160,2022-02-24,0001326160-22-000072,duk-20211231.htm,169617,35.41508221463648,1.414952510656361,34.000129703980114,-0.3186972291304083,34.000129703980114,-0.3186972291304083
DUK,1326160,2021-02-25,0001326160-21-000063,duk-20201231.htm,175198,32.500371008801444,1.2271829587095744,31.27318805009187,-0.38256585378756813,31.27318805009187,-0.38256585378756813
GM,1467858,2025-01-28,0001467858-25-000032,gm-20241231.htm,73039,15.005681895973378,0.8899355139035309,14.115746382069847,-0.7844161098828982,14.115746382069847,-0.7844161098828982
GM,1467858,2024-01-30,0001467858-24-000031,gm-20231231.htm,70762,16.548429948277324,1.1305502953562647,15.417879652921059,-0.7539184052433385,15.417879652921059,-0.7539184052433385
GM,1467858,2023-01-31,0001467858-23-000029,gm-20221231.htm,69551,14.191025290793805,1.5815732340297048,12.6094520567641,-0.8196955397705848,12.6094520567641,-0.8196955397705848
GM,1467858,2022-02-02,0001467858-22-000034,gm-20211231.htm,68225,14.437522902161962,2.052033711982411,12.385489190179552,-0.8249410499715948,12.385489190179552,-0.8249410499715948
GM,1467858,2021-02-10,0001467858-21-000037,gm-20201231.htm,70055,11.462422382413822,0.7850974234530013,10.67732495896082,-0.8649485433409291,10.67732495896082,-0.8649485433409291
XOM,34088,2025-02-19,0000034088-25-000010,xom-20241231.htm,70149,19.21623971831389,0.28510741421830677,18.931132304095584,-0.6716333242319084,18.931132304095584,-0.6716333242319084
XOM,34088,2024-02-28,0000034088-24-000018,xom-20231231.htm,66231,20.821065664114997,0.15098669807189988,20.6700789660431,-0.6309048651200734,20.6700789660431,-0.6309048651200734
XOM,34088,2023-02-22,0000034088-23-000020,xom-20221231.htm,65164,20.210545700079805,0.15345896507273954,20.057086735007065,-0.6452619639109374,20.057086735007065,-0.6452619639109374
XOM,34088,2022-02-23,0000034088-22-000011,xom-20211231.htm,62120,15.389568576947843,0.16097875080489377,15.228589826142949,-0.7583518264280829,15.228589826142949,-0.7583518264280829
XOM,34088,2021-02-24,0000034088-21-000012,xom-20201231.htm,63327,12.71179749553903,0.15791052789489476,12.553886967644134,-0.8209969485542985,12.553886967644134,-0.8209969485542985
CVX,93410,2025-02-21,0000093410-25-000009,cvx-20241231.htm,78254,22.10749610243568,3.897564341758888,18.209931760676792,-0.6885248065797159,18.209931760676792,-0.6885248065797159
CVX,93410,2024-02-26,0000093410-24-000013,cvx-20231231.htm,77546,22.554354834549834,3.9976272148144325,18.5567276197354,-0.6804023832329276,18.5567276197354,-0.6804023832329276
CVX,93410,2023-02-23,0000093410-23-000009,cvx-20221231.htm,73758,24.1600911087611,4.2707231757911,19.889367932970003,-0.6491901628146358,19.889367932970003,-0.6491901628146358
CVX,93410,2022-02-24,0000093410-22-000019,cvx-20211231.htm,71802,16.322665106821546,4.456700370463218,11.865964736358329,-0.8371090082753642,11.865964736358329,-0.8371090082753642
CVX,93410,2021-02-25,0000093410-21-000009,cvx-20201231.htm,73360,7.170119956379495,2.930752453653217,4.239367502726278,-1.015734126796562,4.239367502726278,-1.015734126796562
OXY,797468,2025-02-18,0000797468-25-000029,oxy-20241231.htm,77804,14.716467019690509,1.2210169142974654,13.495450105393044,-0.7989442792021116,13.495450105393044,-0.7989442792021116
OXY,797468,2024-02-14,0000797468-24-000034,oxy-20231231.htm,82734,13.464839122972421,1.4504315033722532,12.014407619600169,-0.8336322771985253,12.014407619600169,-0.8336322771985253
OXY,797468,2023-05-09,0000797468-23-000031,oxy-20221231.htm,40543,4.242409293836174,0.2466517031300101,3.9957575907061647,-1.021439797107253,3.9957575907061647,-1.021439797107253
OXY,797468,2023-02-27,0000797468-23-000011,oxy-20221231.htm,77227,9.11598275214627,0.9711629352428554,8.144819816903414,-0.9242632045584737,8.144819816903414,-0.9242632045584737
OXY,797468,2022-02-24,0000797468-22-000008,oxy-20211231.htm,80068,7.418694110006492,0.6869161212968976,6.731777988709594,-0.9573585361073154,6.731777988709594,-0.9573585361073154
BTU,1064728,2025-02-20,0001064728-25-000018,btu-20241231.htm,94726,11.000147794692065,0.21113527437028903,10.789012520321776,-0.8623326711145229,10.789012520321776,-0.8623326711145229
BTU,1064728,2024-02-23,0001064728-24-000021,btu-20231231.htm,96769,11.863303330612084,0.5166943959325817,11.346608934679503,-0.8492730165201489,11.346608934679503,-0.8492730165201489
BTU,1064728,2023-02-24,0001064728-23-000013,btu-20221231.htm,102746,10.46269441146128,0.4866369493702918,9.976057462090989,-0.8813731670500511,9.976057462090989,-0.8813731670500511
BTU,1064728,2022-02-18,0001064728-22-000008,btu-20211231.htm,100628,6.906626386294073,0.29812775768175853,6.608498628612314,-0.9602459037804745,6.608498628612314,-0.9602459037804745
BTU,1064728,2021-02-23,0001064728-21-000008,btu-20201231.htm,109723,5.80552846713998,0.18227718892119246,5.623251278218787,-0.9833217158819256,5.623251278218787,-0.9833217158819256
VST,1692819,2025-02-28,0001692819-25-000013,vistra-20241231.htm,111656,61.92233287955866,0.9403883356022068,60.98194454395645,0.3132530005806888,60.98194454395645,0.3132530005806888
VST,1692819,2024-02-29,0001692819-24-000012,vistra-20231231.htm,117549,55.82352891134765,1.1484572391087973,54.67507167223885,0.16553759360459824,54.67507167223885,0.16553759360459824
VST,1692819,2023-03-01,0001692819-23-000005,vistra-20221231.htm,118386,61.510651597317214,2.196205632422753,59.31444596489446,0.274197951232419,59.31444596489446,0.274197951232419
VST,1692819,2022-02-25,0001692819-22-000005,vistra-20211231.htm,117434,61.32806512594308,2.4268951070388476,58.90117001890423,0.2645184752389938,58.90117001890423,0.2645184752389938
VST,1692819,2021-02-26,0001692819-21-000004,vistra-20201231.htm,118943,56.42198363922217,0.42036942064686444,56.001614218575305,0.19660699615778846,56.001614218575305,0.19660699615778846
