ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
ARLO,1736946,2020-04-29,0001736946-20-000010,arlo-2019123110ka.htm,20980,0.4766444232602478,1.9065776930409917,-1.4299332697807436
ARLP,1086600,2020-02-20,0001558370-20-001103,arlp-20191231x10kbc62ed.htm,121857,1.6412680436905551,0.4103170109226388,1.2309510327679165
ARMK,1584509,2020-11-24,0001584509-20-000230,cik0-20201002.htm,77320,0.5173305742369374,0.9053285049146405,-0.387997930677703
AROC,1389050,2020-02-21,0001389050-20-000028,a201910karoc.htm,62193,0.0,0.0,0.0
ARQT,1787306,2020-03-19,0001787306-20-000005,arqt-20191231x10kdocum.htm,102769,0.0,0.7297920579162978,-0.7297920579162978
ARR,1428205,2020-02-19,0001428205-20-000085,arr12312019-10k.htm,59874,0.4175435080335371,2.5052610482012225,-2.0877175401676857
ARW,7536,2020-02-13,0001775474-20-000003,arw1231201910-k.htm,49486,9.95230974417007,1.5155801640868125,8.436729580083256
ARWR,879407,2020-11-23,0001564590-20-054893,arwr-10k_20200930.htm,60721,0.0,0.4940630095024786,-0.4940630095024786
ASGN,890564,2020-03-02,0000890564-20-000007,a10-k2019.htm,34294,0.0,0.0,0.0
ASH,1674862,2020-11-23,0001564590-20-054890,ash-10k_20200930.htm,80077,1.9668569002335252,0.686838917541866,1.2800179826916591
ASTE,792987,2020-03-17,0001140361-20-006100,form10k.htm,58222,0.1717563807495448,0.5152691422486346,-0.3435127614990897
ASTH,1083446,2020-03-16,0001628280-20-003626,ameh-20191231x10k.htm,84011,0.4463701181988073,1.964028520074752,-1.517658401875945
ASTS,1780312,2020-03-30,0001213900-20-008037,f10k2019_newprovidence.htm,62486,0.0,3.840860352719009,-3.840860352719009
ATEC,1350653,2020-03-17,0001564590-20-011257,atec-10k_20191231.htm,62483,0.0,0.240065297760991,-0.240065297760991
ATEN,1580808,2020-03-10,0001580808-20-000014,a1231201910-k.htm,56135,0.8907098957869422,1.1579228645230248,-0.2672129687360827
