Period,Group,N,Mean_Return,Std_Return,ESG_R2,ESG_AdjR2,ESG_coef,ESG_tstat,ESG_pval,TLS_R2,TLS_AdjR2,TLS_coef,TLS_tstat,TLS_pval,Combined_R2,Combined_AdjR2,Combined_ESG_coef,Combined_ESG_tstat,Combined_ESG_pval,Combined_TLS_coef,Combined_TLS_tstat,Combined_TLS_pval
1Y,Finance,313,0.4219852092545178,1.7271121747749776,0.00010301971087833817,-0.00311208311963318,-0.017501925755953305,-0.17900399739992856,0.858051121098486,0.07182853207249895,0.06884405789909864,0.4621406484379132,4.905853590118247,1.5026800320396191e-06,0.07183306025388259,0.06584488644906905,-0.00367098201339249,-0.03888926245704642,0.9690037096663778,0.46203075717002834,4.8946127530078005,1.5869528599792247e-06
5Y,Finance,313,1.474812158013355,1.6290771736992256,0.00046303492837662663,-0.0027509102969340837,-0.03499884102166019,-0.3795662951743319,0.7045264312672832,0.008085524885736772,0.0048960892744369655,-0.14625169085437423,-1.5921984235021747,0.11235598671318715,0.008672174609523409,0.002276511219907573,-0.0394122199000834,-0.42831337259487134,0.668720417878681,-0.14743150018037313,-1.602215841408198,0.1101263186919339
1Y,Health Care,221,0.08767099223707554,0.5837401427452562,0.0346643656745671,0.03025644040367481,-0.10843672492244913,-2.8043002915469866,0.005495751776874253,0.046037548535129424,0.04168155560606612,0.12496570925257178,3.2509666312139074,0.0013315744582287497,0.06247531732423861,0.05387417344647938,-0.07820522223815388,-1.9550520547404087,0.05185504722885356,0.10172372281534264,2.5429909616567086,0.011684144620778986
5Y,Health Care,221,0.7312910058212556,1.5463613735865438,0.036952549671922186,0.03255507272978486,-0.29658446648017206,-2.898814461560782,0.004126777175312074,0.07236792609661569,0.06813216320207971,0.4150488930987551,4.133398167997945,5.090732309033787e-05,0.08619654320943637,0.07781302525722944,-0.19001816936620808,-1.8163152298129648,0.07069555854897797,0.35857696464124744,3.427508033101939,0.0007281018419374935
1Y,Industrials,229,0.22621853330666572,0.6402167189355016,0.0027438759830125115,-0.0016493228012033345,-0.03346254227342509,-0.7902996903999742,0.43017759207466033,0.10954799328441445,0.10562529721958802,0.21143598676260633,5.284572778895445,2.9525020231396207e-07,0.11224071441828343,0.10438443755472837,-0.03314918537548492,-0.8279465432566274,0.4085742115004317,0.2113868468749926,5.27967752985869,3.034140048192427e-07
5Y,Industrials,229,2.0231530314007307,2.7731101563420966,0.0017402421631631526,-0.002657377915413317,-0.11543078445405126,-0.6290656769979746,0.5299385910114377,0.002467368723554686,-0.001927048154315214,0.13744654625281427,0.7493184060764194,0.45444111720701386,0.004201476657486047,-0.00461089965527961,-0.11522728882933399,-0.627345147704909,0.5310663089277536,0.13727573493546236,0.7473860322873768,0.4556074795439745
1Y,Information Technology,254,0.3713007827199613,2.32655494882731,0.034015665859294275,0.030182394692069292,-0.4282488494498493,-2.9788917187138098,0.0031753098914396394,0.00010688712310047421,-0.003860942689903002,-0.024005978373316014,-0.16412932216115225,0.869760903913575,0.034021080121633074,0.026324036935351236,-0.4280138620228292,-2.9685459780616386,0.003281557614860389,-0.005408000691642899,-0.03750789431599022,0.9701098595649036
5Y,Information Technology,254,1.3380618213178845,3.6147323316284865,0.004178400770470048,0.00022672775765442132,-0.23319787700251837,-1.028287474990057,0.30480058799921766,0.00043814161341193536,-0.0035283736976459146,0.07551388209194493,0.33235535762064883,0.7398972324897335,0.004743082135481913,-0.003187251871406671,-0.23692642326384966,-1.0419642920557548,0.2984307937037351,0.08580876439139869,0.3773731406129112,0.7062152078563235
1Y,Materials,92,0.136894994913892,0.7649158884006536,0.01944251017178722,0.008547426951473813,-0.10607587719219813,-1.3358598327426157,0.18496331495349144,0.03733108991094536,0.026634768687733623,0.14698594174188565,1.8681774106099505,0.06499096274030221,0.053620179137671475,0.032353216871102264,-0.0972827921048676,-1.2376865420991883,0.2190875897549111,0.14091552569442947,1.7928067847479165,0.0764011893315737
5Y,Materials,92,1.7294759676215803,3.372987483455418,0.052842553039918694,0.04231858140702893,-0.7711403142466702,-2.240794663853595,0.027499908006528392,0.0006419585369817904,-0.010462019701496184,0.084995317669638,0.24044413513859342,0.8105328174401577,0.05296386632489558,0.031682155455792005,-0.7688302434745315,-2.2174483564137466,0.029139371605747876,0.0370205489898241,0.1067740976734084,0.915208511527936
1Y,Real Estate,131,-0.023884649407399573,0.19422024790412398,0.03559361399967664,0.028117595503550086,0.036501992844525356,2.181980472558016,0.030922632675156877,0.00019611766000060538,-0.007554300032557526,-0.0027094983060678645,-0.1590727529432191,0.8738603326328866,0.03559711906365526,0.020528324049024826,0.036532570516451,2.1676217941269598,0.032037940401240916,0.00036351340650088134,0.02156868709892224,0.9828255984053134
5Y,Real Estate,131,0.608708898051677,0.9590874267503658,0.015069809584400518,0.007434691829240836,0.11728652209820956,1.4049019414152726,0.16245390552670635,0.00010250026218161512,-0.007648643146638712,-0.009672900357868547,-0.11499517065307413,0.9086277529747042,0.015069850636586946,-0.0003196829472162932,0.11730286346140964,1.3946805091459313,0.16552791047891466,0.00019426935504385928,0.0023097789347073933,0.9981606606342647
1Y,Transports,36,-0.01860422335418384,0.32063730942314533,2.9685807525492436e-06,-0.029408708813931206,-0.0005447174159607382,-0.010046494174641813,0.9920429113627905,0.025263329964962944,-0.003405395624302754,0.050250700999937475,0.9387308777377436,0.35449025405145784,0.025287955785509353,-0.03378550143961134,0.0015702766882937612,0.028874479140707635,0.9771386200736385,0.0503167054393933,0.925230994301748,0.36156273762070734
5Y,Transports,36,0.7888054004101634,1.2713635500601332,0.027188361639334357,-0.0014237453712733217,0.20670169922710235,0.9748024199394294,0.33654317306705517,0.001338382132162419,-0.02803401839336206,-0.04586090206488052,-0.2134618869569479,0.832241591877643,0.028069219778930954,-0.030835675992042955,0.2051364392582984,0.9526767929072134,0.3476802129374049,-0.03723827155260184,-0.17293873894082198,0.8637559568235789
1Y,Utilities & Telecommunications,75,0.10803133537914707,0.25040486015631785,0.013762682775953605,0.0002525825400077064,-0.029179613285790763,-1.0093046270580721,0.31616237378894485,0.00824645266915125,-0.005339212362778234,-0.022587156835758168,-0.7790998740169207,0.4384392795246148,0.02574103242597603,-0.0013217166733023866,-0.0332676708984046,-1.1370532387033967,0.2592861020989659,-0.02752764964942597,-0.9408654811862198,0.34991983402462046
5Y,Utilities & Telecommunications,75,0.7790525951367032,1.3312137116422937,0.05731805434729431,0.04440460303698324,-0.3165765415896615,-2.1068060424212423,0.03857115351725554,0.024155977307891763,0.010788250969643642,-0.20551584777558765,-1.3442607970282359,0.18302672042542945,0.09461252995525238,0.06946287800956508,-0.3549248132640087,-2.36706238017361,0.020620815758180533,-0.25822478236491353,-1.7221511292585854,0.08933565821410991
1Y,Small,444,0.15585464255564363,0.8920288731263355,0.00994136603127116,0.0077014143707084814,-0.08884077164811414,-2.1067049181924706,0.03570617279298938,0.06062798669741376,0.05850271064921786,0.21939456423140943,5.341077742741272,1.4816241125056673e-07,0.0713330083268694,0.06712136664127688,-0.09220051529687757,-2.254670406719464,0.024643850181039855,0.22079752423629556,5.399380276450137,1.0949873637214767e-07
5Y,Small,444,0.753485948005633,2.2581013582064795,0.04680134961456228,0.04464479158201606,-0.4879586246565004,-4.658526966599255,4.220359371469005e-06,0.0007379299825222008,-0.0015228439315444486,-0.06127190571113715,-0.5713194526596874,0.568073501423463,0.04737140213430158,0.04305109103286975,-0.4871390783999138,-4.6462905415517275,4.4687628736274284e-06,-0.053859402195168916,-0.5137063358066415,0.6077146031603817
1Y,Medium,443,0.14693894226616586,0.618603117082299,0.022758794441039565,0.020542827988525025,-0.0932171889482507,-3.204741733520921,0.0014499804926395275,0.0031699090999153245,0.0009095234062643787,0.03478922706928332,1.184219285156378,0.23696413325247453,0.025942225089022664,0.021514689748518112,-0.09324490559244314,-3.2072852010162425,0.0014377392917084427,0.034863357504675646,1.1991725432295008,0.23110624594009985
5Y,Medium,443,1.3389887400071232,2.555099836459397,0.009830050340625007,0.007584767008064097,-0.25304340137924586,-2.092388356838578,0.036974904240573175,0.00017982777854863574,-0.0020873381448558437,-0.03422516380768488,-0.28163507234751434,0.7783554505915256,0.010007770431265772,0.005507805751407857,-0.25301635201990913,-2.0899781808603666,0.037193318177231455,-0.03402401381222463,-0.281046841143476,0.7788065841018138
1Y,Large,444,0.3121873573754836,2.1267983331372875,0.011120909570327187,0.00888362656030528,-0.22403034308637934,-2.229511374376526,0.02628161401620172,2.3869700567114016e-05,-0.0022385197344994,0.010379111436838362,0.10271640322602235,0.9182346390228929,0.011121223896442434,0.006636512893705149,-0.22409192870839517,-2.2246284687771936,0.02661156168984046,-0.0011926327285650563,-0.01183962642498265,0.9905589196649325
5Y,Large,444,1.5066030775878454,2.5191602252087884,0.009535927669498845,0.007295058727574633,-0.2457240376237272,-2.062876580565203,0.039707934771888775,2.3090017011617725e-05,-0.0022393011820449615,-0.012091447516692229,-0.10102486414943304,0.9195765319349606,0.009633166166562068,0.0051417066026915315,-0.24700707024299334,-2.0686387956572756,0.03916223838507138,-0.024846492467986245,-0.2080848058507772,0.8352588147655975
1Y,Mega,444,0.20464805881323814,0.575721529421997,0.014666331141814815,0.012437069447565507,-0.06964398153646453,-2.564957753781142,0.010647915514300726,0.0120818510629368,0.009846742128690078,0.06321055264663779,2.3249702045519784,0.020525574611478144,0.026139841807464426,0.021723242450582103,-0.0682029686561919,-2.523089300542946,0.0119834497858672,0.06161547684192491,2.2793927219119428,0.02312066916117194
5Y,Mega,444,1.752850960949009,2.912492948649913,0.003244937050721597,0.0009898350983477133,-0.16572132567750197,-1.1995546749905228,0.23095495652633688,0.0027818133227240915,0.0005256635791103248,0.15344023395007095,1.1104014772416673,0.26742976588824846,0.005889439682463471,0.0013810017671911368,-0.16222151852177874,-1.174130445035734,0.24097644004874527,0.149646328431057,1.0831134599145764,0.27934990095285567
